"Pacific Time","Plays","Minutes played","New subscribers"
"10/13/21",4,2.333,
"10/14/21",1,0.369,
"10/15/21",4,4.736,
"10/16/21",3,10.833,
"10/17/21",2,19.582,
"10/18/21",4,2.892,
"10/19/21",42,339.784,
"10/20/21",30,312.342,
"10/21/21",8,27.336,
"10/22/21",18,133.857,
"10/23/21",4,9.650,
"10/24/21",13,117.331,
"10/25/21",7,32.193,
"10/26/21",5,25.617,
"10/27/21",11,104.106,
"10/28/21",12,122.717,
"10/29/21",7,57.417,
"10/30/21",15,84.859,
"10/31/21",5,32.564,
"11/1/21",5,25.989,
"11/2/21",5,46.472,
"11/3/21",3,43.808,
"11/4/21",3,3.826,
"11/5/21",20,144.781,
"11/6/21",7,65.088,
"11/7/21",12,148.341,
"11/8/21",13,193.052,
"11/9/21",9,32.600,
"11/10/21",11,49.857,
"11/11/21",14,241.698,
"11/12/21",15,53.086,
"11/13/21",5,39.742,
"11/14/21",15,119.603,
"11/15/21",12,162.268,
"11/16/21",15,110.779,
"11/17/21",9,142.609,
"11/18/21",12,151.504,
"11/19/21",16,151.921,
"11/20/21",4,42.005,
"11/21/21",11,118.947,
"11/22/21",9,84.272,
"11/23/21",20,215.906,
"11/24/21",6,16.298,
"11/26/21",8,111.967,
"11/27/21",22,219.510,
"11/28/21",12,170.270,
"11/29/21",21,161.819,
"11/30/21",21,252.828,
"12/1/21",12,144.883,
"12/2/21",12,145.673,
"12/3/21",11,111.742,
"12/4/21",7,65.336,
"12/5/21",16,232.149,
"12/6/21",6,103.192,
"12/7/21",10,86.016,
"12/8/21",10,64.786,
"12/9/21",24,232.962,
"12/10/21",11,145.976,
"12/11/21",14,291.854,
"12/12/21",9,139.939,
"12/13/21",13,103.271,
"12/14/21",7,50.260,
"12/15/21",4,68.438,
"12/16/21",5,54.698,
"12/17/21",6,126.304,
"12/18/21",3,64.545,
"12/19/21",14,229.851,
"12/20/21",7,49.029,
"12/21/21",5,111.438,
"12/22/21",6,140.396,
"12/23/21",7,95.839,
"12/24/21",7,55.502,
"12/25/21",3,31.769,
"12/26/21",10,100.726,
"12/27/21",4,94.669,
"12/28/21",8,203.465,
"12/29/21",6,64.714,
"12/30/21",6,97.310,
"12/31/21",11,111.989,
"1/1/22",78,683.600,
"1/2/22",25,226.539,
"1/3/22",65,677.502,
"1/4/22",2,7.795,
"1/5/22",2,16.699,
"1/6/22",3,42.874,
"1/7/22",6,78.341,
"1/8/22",27,290.094,
"1/9/22",27,226.835,
"1/10/22",23,101.405,
"1/11/22",41,383.402,
"1/12/22",9,96.997,
"1/13/22",13,105.945,
"1/14/22",9,92.380,
"1/15/22",13,99.065,
"1/16/22",35,326.087,
"1/17/22",11,121.402,
"1/18/22",31,479.138,
"1/19/22",19,231.190,
"1/20/22",14,237.823,
"1/21/22",5,54.469,
"1/22/22",4,71.659,
"1/23/22",10,36.618,
"1/24/22",8,178.577,
"1/25/22",8,45.237,
"1/26/22",4,24.925,
"1/27/22",10,88.140,
"1/28/22",17,137.744,
"1/29/22",6,76.898,
"1/30/22",6,54.822,
"1/31/22",21,252.852,
"2/1/22",12,236.602,
"2/2/22",6,59.146,1
"2/3/22",20,199.104,1
"2/4/22",10,110.165,0
"2/5/22",10,137.181,0
"2/6/22",1,7.229,-80
"2/7/22",,,0
"2/8/22",,,0
"2/9/22",1,9.064,0
"2/10/22",,,0
"2/11/22",,,0
"2/12/22",,,0
"2/13/22",,,0
"2/14/22",,,0
"2/15/22",,,0
"2/16/22",,,0
"2/17/22",,,0
"2/18/22",,,0
"2/19/22",,,0
"2/20/22",,,0
"2/21/22",,,0
"2/22/22",,,0
"2/23/22",,,0
"2/24/22",,,0
"2/25/22",,,0
"2/26/22",,,0
"2/27/22",,,0
"2/28/22",,,0
"3/1/22",,,0
"3/2/22",,,0
"3/3/22",,,0
"3/4/22",,,0
"3/5/22",,,0
"3/6/22",,,0
"3/7/22",,,0
"3/8/22",,,0
"3/9/22",,,0
"3/10/22",,,0
"3/11/22",,,0
"3/12/22",,,0
"3/13/22",,,0
"3/14/22",,,0
"3/15/22",,,0
"3/16/22",,,0
"3/17/22",,,0
"3/18/22",1,0.164,0
"3/19/22",,,0
"3/20/22",,,0
"3/21/22",,,0
"3/22/22",1,0.849,0
"3/23/22",,,0
"3/24/22",,,0
"3/25/22",,,0
"3/26/22",,,0
"3/27/22",1,6.262,0
"3/28/22",,,0
"3/29/22",,,0
"3/30/22",,,0
"3/31/22",,,0
"4/1/22",,,0
"4/2/22",,,0
"4/3/22",,,0
"4/4/22",,,0
"4/5/22",,,0
"4/6/22",,,0
"4/7/22",,,0
"4/8/22",,,0
"4/9/22",,,0
"4/10/22",,,0
"4/11/22",,,0
"4/12/22",,,0
"4/13/22",,,0
"4/14/22",,,0
"4/15/22",,,0
"4/16/22",,,0
"4/17/22",,,0
"4/18/22",,,0
"4/19/22",,,0
"4/20/22",,,0
"4/21/22",,,0
"4/22/22",,,0
"4/23/22",,,0
"4/24/22",,,0
"4/25/22",,,0
"4/26/22",,,0
"4/27/22",,,0
"4/28/22",,,0
"4/29/22",,,0
"4/30/22",,,0
"5/1/22",,,0
"5/2/22",,,0
"5/3/22",,,0
"5/4/22",,,0
"5/5/22",,,0
